,ARI,ACC,NMI,FM,FRG,HUL,TIME
0,1.0,1.0,1.0,1.0,0.9999997417707139,0.9999997468170536,8.233022928237915
1,1.0,1.0,1.0,1.0,0.9999999944533393,0.9999999945700785,7.5883948802948
2,1.0,1.0,1.0,1.0,0.9999999598988576,0.9999999600307926,8.983457803726196
3,1.0,1.0,1.0,1.0,0.9999998823450492,0.9999998826880742,9.366527557373047
4,1.0,1.0,1.0,1.0,0.9999999919540367,0.9999999920726657,7.468822479248047
5,1.0,1.0,1.0,1.0,0.9999978398576564,0.9999978406943383,7.657194375991821
6,1.0,1.0,1.0,1.0,0.9999999308881543,0.9999999338326327,10.294763565063477
7,1.0,1.0,1.0,1.0,0.9999999326497365,0.9999999331369579,7.341979265213013
8,1.0,1.0,1.0,1.0,0.9999999761969153,0.9999999766536201,9.190822839736938
9,1.0,1.0,1.0,1.0,0.999999499719333,0.9999995054721618,8.350359916687012
10,1.0,1.0,1.0,1.0,0.9999999844217581,0.9999999851198076,11.403277397155762
11,1.0,1.0,1.0,1.0,0.9999999413958268,0.9999999418955409,8.943421602249146
12,1.0,1.0,1.0,1.0,0.9999920029709561,0.9999920996688757,7.0211334228515625
13,1.0,1.0,1.0,1.0,0.9999999614093111,0.9999999625249014,8.83846664428711
14,1.0,1.0,1.0,1.0,0.9999999968189859,0.9999999968532935,7.103109359741211
15,1.0,1.0,1.0,1.0,0.9999999365662279,0.9999999367381341,7.0542216300964355
16,1.0,1.0,1.0,1.0,0.9999999956978082,0.9999999958321153,7.225062608718872
17,1.0,1.0,1.0,1.0,0.9999988545425984,0.9999988574613735,7.832597732543945
18,1.0,1.0,1.0,1.0,0.9999999992479438,0.9999999992774483,7.267008543014526
19,1.0,1.0,1.0,1.0,0.9999999982101141,0.9999999982408404,9.465405941009521
20,1.0,1.0,1.0,1.0,0.9999999912958717,0.9999999914735328,8.175447940826416
21,1.0,1.0,1.0,1.0,0.9999998576147568,0.9999998580111479,9.411713361740112
22,1.0,1.0,1.0,1.0,0.9999999340790598,0.9999999359907561,8.645771741867065
